title,body,category,ticket_id
Inquiry about currency conversion,"I am being billed in a currency that is different from my local one, which is causing extra conversion fees on my bank's end. Is it possible to change my billing currency to my local one? This would save me a lot of money.",Billing,TKT-00375
Payment method expired notification,"I received an automated email saying my card is expired, but I have already updated it to a new one. Is there a sync issue with the billing backend? I want to ensure my service stays active.",Billing,TKT-00317
Receiving alerts for activities that aren't mine,I keep getting push notifications about account changes that I did not initiate. It is very concerning to see these alerts pop up on my screen. Can you verify if my security is compromised?,Notifications,TKT-01572
Problem accessing billing history,"I am trying to download my invoices from the past six months, but the download link returns a 404 error. I really need these for my tax filing this week. Is there any other way to get these documents sent to me?",Billing,TKT-00255
Unable to export data to CSV,"The export button is greyed out even though I have selected a date range. I am using the latest version of Chrome, and I've already cleared my browser cache. This is preventing me from generating my monthly reports.",Technical,TKT-00465
Cancel my subscription immediately,I no longer have a need for this service and would like to cancel my subscription effective today. Please confirm that I will not be charged for the next billing cycle. Thanks.,Subscription,TKT-00907
Requesting permanent account closure,"I would like to close my account entirely but I cannot find the setting anywhere in the dashboard. I also seem to have forgotten my password, which makes it harder to access the settings menu. Please assist me in deleting my profile.",Account Access,TKT-00110
Add read receipt for shared files,"When I send documents to my clients, I have no idea if they have actually opened them yet. Can you implement a read receipt or a 'last viewed' timestamp? It would help me track my project progress more effectively.",Feature Request,TKT-00783
How to change billing currency?,I moved to a different country and I want to pay in my local currency instead of the original one. Is this a setting I can change in my billing profile? I'm worried about the constant exchange rate fees.,Subscription,TKT-00937
Requesting a security audit for my enterprise account,"Our security team requires a compliance report regarding your data handling processes. Does your platform meet SOC2 standards? If so, please send over the relevant documentation for our records.",Security,TKT-01341
Where can I find my payment history?,I need to look back at my payments from the last six months for my budget planning. I cannot find a section in my account that lists past transactions. Where should I look?,Billing,TKT-00240
Need to export activity logs for audit,My company requires a full audit of all account activity for compliance reasons. I need to pull a secure report of every login and change made to my settings over the last six months. Could you guide me on how to export these logs securely?,Security,TKT-01232
Question regarding subscription billing cycle,I noticed that my monthly charges seem to be hitting my account at different times each month. Could you clarify if the billing date is fixed or if it shifts based on the weekend? I would appreciate it if you could help me understand how this works.,General Inquiry,TKT-01830
Multiple accounts linked to one payment,I seem to have two separate accounts under my name and both are being billed. I only intended to have one subscription active. Can you merge them and refund the duplicate payment?,Subscription,TKT-00979
Refund status inquiry,"I was told my refund was processed five days ago, but I still don't see it in my bank account. How long does it usually take for the funds to show up? I'm getting a bit worried.",Billing,TKT-00213
Subscription features not showing up,"I just upgraded my plan, but none of the premium features are unlocked in my dashboard. I have refreshed the page multiple times and even logged out and back in. Please fix my account access.",Subscription,TKT-00814
Where can I download my payment receipts?,"I need to submit my monthly expenses to my accounting department, but I cannot find a way to download previous invoices. Can you point me in the right direction? I need copies of the last three months of payments.",Subscription,TKT-00830
Include spell check in text editor,I find myself making small typos in my reports all the time because the built-in editor has no spell checker. Can you please integrate a basic spelling and grammar tool? It would be a huge help.,Feature Request,TKT-00778
Search index not updating,"I added several new entries to the database an hour ago, but they are not showing up in the search results. It seems like the indexer might be stuck. How long does it usually take for search indices to update?",Technical,TKT-00417
Update billing currency,"My account is currently being billed in USD, but I would like to be billed in my local currency to avoid conversion fees. Is it possible to change the billing currency setting for my account? Let me know the steps.",Billing,TKT-00352
Persistent 'Account Update' notification,"There is a permanent notification in my tray saying I need to update my profile, but I have already done it. It won't go away no matter how many times I click on it. Can someone manually clear this status for me?",Notifications,TKT-01423
Account locked after multiple failed attempts,I accidentally entered my password incorrectly several times and now I am completely locked out. How long do I have to wait before I can try logging in again? I need urgent access for work purposes.,Security,TKT-01332
Discrepancy in invoice amount,My latest invoice is significantly higher than the amount I agreed to when I signed up. The breakdown shows a fee I was never informed about. Could you please explain what these charges are for?,Billing,TKT-00345
Are you offering seasonal discounts right now?,I noticed there was a promotion last year around this time. I was wondering if you have any current coupon codes available for returning users. I would love to reactivate my plan if there is a deal.,General Inquiry,TKT-01952
Double charge on my monthly statement,I noticed that I was charged twice for my subscription this month. Could you please look into this and process a refund for the extra charge? I have already checked my bank statement and confirmed both transactions are pending.,Billing,TKT-00282
Lag during video playback,"The video player keeps stuttering every few seconds, even though my internet connection is perfectly fine. I have tried lowering the resolution but the problem persists. Any suggestions on how to make it smoother?",Performance,TKT-01042
Database connection timeout in dev environment,We are seeing frequent database connection timeouts when running our automated test suite. It seems like the connection pool is being exhausted too quickly. Can we increase the maximum connections allowed for our sandbox account?,Technical,TKT-00530
Slow login process,I have been waiting for the authentication screen to complete for ages. It just spins and spins after I enter my credentials. Is the authentication server down or just extremely slow?,Performance,TKT-01160
Missing columns in standard data export,"I noticed that the standard lead export is missing the custom fields we added last month. Are custom fields automatically included in the export, or do I need to map them somewhere in the settings? Please guide me on how to include these.",Data Management,TKT-01747
Where can I find your service status page?,I'm experiencing some sluggish performance today and want to check if there is an ongoing outage. Is there a public dashboard where I can monitor the health of your services? Thanks in advance.,General Inquiry,TKT-01961
Can I have multiple users on one plan?,I am currently on the basic plan and I was wondering if I can add team members to it. Do I need to switch to an enterprise plan for that functionality?,General Inquiry,TKT-02001
Need receipt for business expenses,I am putting together my expenses for the quarter and realized I missed one receipt. Could you generate a PDF receipt for the payment made on the 15th? Thank you for your assistance.,Billing,TKT-00212
How do I cancel my account?,"I want to stop my service, but I can't find the cancellation link in the settings menu. I don't want to be billed for another month. Please assist me in canceling immediately.",Billing,TKT-00351
Requesting a refund for accidental renewal,"I meant to cancel my subscription before it renewed, but I forgot. Since I haven't used the service at all this month, could you please provide a refund? I have already cancelled my account now.",Billing,TKT-00325
Missing digest email notifications,"I signed up for the weekly digest email, but I haven't received one in over a month. I checked my spam folder and they aren't there either. Could you check if my account is configured correctly to send these?",Notifications,TKT-01473
Incorrect time zone displaying in reports,"Even though I have my profile settings configured to my local time zone, all the generated reports are showing times in UTC. This makes it very difficult to track events accurately. Is there a global setting I am missing?",Technical,TKT-00555
Subscription not showing in my dashboard,"I upgraded to the premium version, but my dashboard still says I am on a trial. The charge already cleared on my bank account, so I am very confused. Please investigate why my subscription status hasn't updated yet.",Subscription,TKT-00963
